Species,Effective Survey Area,Availability,Geographic Bias,Temporal Trend,Realised Overall Ratio,New,Existing,Scientific Name
Purple Martin,7.91,2.14,1.03,0.868,15.4,116,7.48,Progne subis
Scarlet Tanager,9.34,1.74,1.01,0.917,9.35,21.4,2.29,Piranga olivacea
Downy Woodpecker,3.87,2.36,1,1.1,7.22,94.9,13.1,Dryobates pubescens
Clark's Nutcracker,3.32,1.21,2.43,0.802,6.95,1.64,0.236,Nucifraga columbiana
Barn Swallow,5.27,1.77,0.948,0.9,6.74,285,42.3,Hirundo rustica
Blue Jay,3.3,2.09,0.973,0.987,4.89,84.8,17.3,Cyanocitta cristata
Blue-headed Vireo,4.32,1.66,1.08,0.988,4.26,48.2,11.3,Vireo solitarius
American Kestrel,2.19,2.84,0.942,0.949,4.19,10.9,2.6,Falco sparverius
Northern Flicker,2.55,1.96,0.922,0.879,3.84,23.7,6.18,Colaptes auratus
Rose-breasted Grosbeak,4.04,1.77,0.949,1.01,3.8,16.2,4.25,Pheucticus ludovicianus
Olive-sided Flycatcher,5.26,1.29,1.36,0.847,3.62,5.86,1.62,Contopus cooperi
Blackpoll Warbler,2.99,1.85,2.01,0.748,3.62,134,37.2,Setophaga striata
Ash-throated Flycatcher,4.8,1.15,1.08,1.01,3.43,25.3,7.37,Myiarchus cinerascens
Northern Waterthrush,4.11,1.66,1.16,0.923,3.14,50.9,16.2,Parkesia noveboracensis
Steller's Jay,4.03,1.51,0.927,0.899,3.09,8.26,2.67,Cyanocitta stelleri
Verdin,3.75,1.7,1.06,0.719,2.85,9.62,3.38,Auriparus flaviceps
Mountain Bluebird,4.4,1.34,1.13,0.666,2.84,14.6,5.16,Sialia currucoides
Yellow-rumped Warbler,3.47,1.23,1.07,0.889,2.72,341,125,Setophaga coronata
Red-winged Blackbird,3.5,1.2,0.94,0.971,2.61,410,157,Agelaius phoeniceus
Black-capped Chickadee,2.6,1.62,0.846,0.9,2.58,112,43.5,Poecile atricapillus
Wood Thrush,4.64,0.735,0.988,1.09,2.53,31.4,12.4,Hylocichla mustelina
Tennessee Warbler,3,1.15,1.23,0.938,2.4,251,104,Leiothlypis peregrina
American Robin,4.42,0.83,0.934,0.962,2.4,822,343,Turdus migratorius
Veery,3.83,1.14,0.844,1.09,2.35,27.3,11.6,Catharus fuscescens
Horned Lark,5.07,1.07,0.985,1.12,2.19,315,144,Eremophila alpestris
Golden-winged Warbler,2.1,1.79,1.12,0.943,2.14,0.881,0.411,Vermivora chrysoptera
Bobolink,3.31,1.42,0.931,0.836,2.04,18.2,8.91,Dolichonyx oryzivorus
Mountain Chickadee,3.09,1.21,1.17,0.827,1.97,14.3,7.24,Poecile gambeli
Red-eyed Vireo,2.45,1.15,0.908,1.09,1.7,245,144,Vireo olivaceus
Sedge Wren,1.72,1.21,0.959,0.96,1.67,8.61,5.15,Cistothorus stellaris
Brown Creeper,2.56,1.54,0.97,0.997,1.66,14.2,8.59,Certhia americana
Chestnut-collared Longspur,4.42,0.978,1.03,0.966,1.61,4.33,2.68,Calcarius ornatus
Eastern Phoebe,1.98,0.995,0.952,1.01,1.55,51.2,33.1,Sayornis phoebe
Palm Warbler,2.58,1.2,1.74,0.736,1.53,9.73,6.36,Setophaga palmarum
Swamp Sparrow,1.83,1.17,1.03,1.04,1.53,32.8,21.5,Melospiza georgiana
Bay-breasted Warbler,1.85,1.5,1.19,1.3,1.42,14.2,10,Setophaga castanea
Black-throated Sparrow,1.78,0.855,1.08,0.924,1.28,40.2,31.5,Amphispiza bilineata
Grasshopper Sparrow,3.46,0.814,1.02,0.789,1.27,37.4,29.4,Ammodramus savannarum
Canyon Wren,1.11,0.933,2.25,0.599,1.24,0.475,0.384,Catherpes mexicanus
Black-chinned Hummingbird,1.03,2.27,1.08,0.862,1.19,9.28,7.82,Archilochus alexandri
White-throated Sparrow,2.56,0.785,1.01,0.948,1.18,177,150,Zonotrichia albicollis
Say's Phoebe,1.59,0.694,1.05,0.907,0.904,4.57,5.06,Sayornis saya
Varied Thrush,3.51,0.653,1.51,0.817,0.874,28.7,32.9,Ixoreus naevius
Western Meadowlark,1.35,0.882,0.986,1.01,0.84,77.1,91.8,Sturnella neglecta
Baird's Sparrow,2.31,0.918,0.964,0.799,0.788,2.18,2.77,Centronyx bairdii
Savannah Sparrow,1.93,1.13,0.977,0.745,0.762,154,201,Passerculus sandwichensis
Northern Bobwhite,1.59,1.17,0.96,0.762,0.753,13.2,17.6,Colinus virginianus
Clay-colored Sparrow,1.56,1.08,0.849,0.805,0.645,40.8,63.2,Spizella pallida
Sage Thrasher,1.32,0.958,0.968,0.882,0.538,3.21,5.96,Oreoscoptes montanus
Common Nighthawk,4.03,0.184,0.968,1.01,0.401,7.92,19.8,Chordeiles minor
